group	item_nr	item_version	dimension_group	distinction_dimension	dimension	agens_gender	formality	modality	agens	verb	obj_1	obj_2	sentence	comment												
1	42	b	3	info_elab	informational	f	formal	hear	София Михайловна	выслушивает	проблему	руководителя.	София Михайловна выслушивает проблему руководителя.													причину
1	43	a	3	info_elab	informational	f	formal	write	Ольга Владимировна	пишет	постановление	судьи.	Ольга Владимировна пишет постановление судьи.													примечание
2	44	a	3	info_elab	informational	f	formal	write	Анастасия Сергеевна	пишет	аннотацию	исследования.	Анастасия Сергеевна пишет аннотацию исследования.													оценку
2	43	b	3	info_elab	informational	f	formal	read	Ольга Владимировна	читает	постановление	судьи.	Ольга Владимировна читает постановление судьи.													
1	44	b	3	info_elab	informational	f	formal	read	Анастасия Сергеевна	читает	аннотацию	исследования.	Анастасия Сергеевна читает аннотацию исследования.													текст
1	45	a	3	info_elab	informational	f	informal	speak	Татьяна	рассказывает	секрет	подруге.	Татьяна рассказывает секрет подруге.													уведомление
2	46	a	3	info_elab	informational	f	informal	speak	Анна	рассказывает	шутку	соседу.	Анна рассказывает шутку соседу.													уведомление
2	45	b	3	info_elab	informational	f	informal	hear	Татьяна	слушает	секрет	подруги.	Татьяна слушает секрет подруги.													
1	46	b	3	info_elab	informational	f	informal	hear	Анна	слушает	шутку	соседа.	Анна слушает шутку соседа.													
1	47	a	3	info_elab	informational	f	informal	write	Юлия	пишет	памятку	в ежедневник.	Юлия пишет памятку в ежедневник.													
2	48	a	3	info_elab	informational	f	informal	write	Дариа	пишет	заметку	на ладонь.	Дариа пишет заметку на ладонь.													
2	47	b	3	info_elab	informational	f	informal	read	Юлия	читает	памятку	в ежедневнике.	Юлия читает памятку в ежедневнике.													
1	48	b	3	info_elab	informational	f	informal	read	Дариа	читает	заметку	на ладони.	Дариа читает заметку на ладони.													
1	49	a	4	info_elab	elaborated	m	formal	speak	Владимир Александрович	объясняет	методику 	расследования.	Владимир Александрович объясняет методику расследования.													
2	50	a	4	info_elab	elaborated	m	formal	speak	Артем Алексеевич	даёт	устный ответ 	на экзамене.	Артем Алексеевич даёт устный ответ на экзамене.													
2	49	b	4	info_elab	elaborated	m	formal	hear	Владимир Александрович	слушает	объяснение методики	расследования.	Владимир Александрович слушает объяснение методики расследования.													
1	50	b	4	info_elab	elaborated	m	formal	hear	Артем Алексеевич	слушает	устный ответ 	на экзамене.	Артем Алексеевич слушает устный ответ на экзамене.													
1	51	a	4	info_elab	elaborated	m	formal	write	Иван Андреевич	пишет	роман	о писателе.	Иван Андреевич пишет роман о писателе.													
2	52	a	4	info_elab	elaborated	m	formal	write	Владислав  Артёмович	пишет	повесть	для литературного журнала.	Владислав Артёмович пишет повесть для литературного журнала.													
2	51	b	4	info_elab	elaborated	m	formal	read	Иван Андреевич	читает	роман	о писателе.	Иван Андреевич читает роман о писателе.													
1	52	b	4	info_elab	elaborated	m	formal	read	Владислав  Артёмович	читает	повесть	в литературном журнале.	Владислав Артёмович читает повесть в литературном журнале.													
1	53	a	4	info_elab	elaborated	m	informal	speak	Максим	рассказывает	историю другу	в баре.	Максим рассказывает историю другу в баре.													
2	54	a	4	info_elab	elaborated	m	informal	speak	Георгий	рассказывает	о своём путешествии	сыну.	Георгий рассказывает о своём путешествии сыну.													
2	53	b	4	info_elab	elaborated	m	informal	hear	Максим	слушает	историю друга	в баре.	Максим слушает историю друга в баре.													
1	54	b	4	info_elab	elaborated	m	informal	hear	Георгий	слушает	рассказ сына 	о путешествии.	Георгий слушает рассказ сына о путешествии.													
1	55	a	4	info_elab	elaborated	m	informal	write	Павел	пишет	статью	для детской газеты.	Павел пишет статью для детской газеты.													
2	56	a	4	info_elab	elaborated	m	informal	write	Денис	делает	запись	в дневник.	Денис делает запись в дневник.													
2	55	b	4	info_elab	elaborated	m	informal	read	Павел	читает	статью	в детской газете.	Павел читает статью в детской газете.													
1	56	b	4	info_elab	elaborated	m	informal	read	Денис	читает	запись	в дневнике.	Денис читает запись в дневнике.													
1	57	a	4	info_elab	elaborated	f	formal	speak	Елена Александровна	ведёт беседу	с политиком	на встрече со слушателями	Елена Александровна ведёт беседу с политиком на встрече со слушателями													
2	58	a	4	info_elab	elaborated	f	formal	speak	Алина Максимовна	даёт	устную инструкцию 	руководителю.	Алина Максимовна даёт устную инструкцию руководителю.													
2	57	b	4	info_elab	elaborated	f	formal	hear	Елена Александровна	слушает	беседу с политиком	на встрече со слушателями	Елена Александровна слушает беседу с политиком на встрече со слушателями													
1	58	b	4	info_elab	elaborated	f	formal	hear	Алина Максимовна	слушает	инструкцию 	руководителя.	Алина Максимовна слушает инструкцию руководителя.													
1	59	a	4	info_elab	elaborated	f	formal	write	Александра Михайловна	пишет	комментарий	издателю.	Александра Михайловна пишет комментарий издателю.													
2	60	a	4	info_elab	elaborated	f	formal	write	Анастасия Сергеевна	пишет	курсовую работу	по истории искусства.	Анастасия Сергеевна пишет курсовую работу по истории искусства.													
2	59	b	4	info_elab	elaborated	f	formal	read	Александра Михайловна	читает	комментарий	издателя.	Александра Михайловна читает комментарий издателя.													
1	60	b	4	info_elab	elaborated	f	formal	read	Анастасия Сергеевна	читает	курсовую работу	по истории искусства.	Анастасия Сергеевна читает курсовую работу по истории искусства.													
1	61	a	4	info_elab	elaborated	f	informal	speak	Татьяна	описывает	свою точку зрения	бабушке.	Татьяна описывает свою точку зрения бабушке.													
2	62	a	4	info_elab	elaborated	f	informal	speak	Анна	рассказывает	сестре	о смешном случае	Анна рассказывает сестре о смешном случае													
2	61	b	4	info_elab	elaborated	f	informal	hear	Татьяна	выслушивает	точку зрения	бабушки.	Татьяна выслушивает точку зрения бабушки.													
1	62	b	4	info_elab	elaborated	f	informal	hear	Анна	слушает	рассказ сестры	о смешном случае	Анна слушает рассказ сестры о смешном случае													
1	63	a	4	info_elab	elaborated	f	informal	write	Ирина	пишет	описание поездки	в блог.	Ирина пишет описание поездки в блог.													
2	64	a	4	info_elab	elaborated	f	informal	write	Мария	пишет	вспоминание	в тетрадь.	Мария пишет вспоминание в тетрадь.													
2	63	b	4	info_elab	elaborated	f	informal	read	Ирина	читает	описание поездки	в блоге.	Ирина читает описание поездки в блоге.													
1	64	b	4	info_elab	elaborated	f	informal	read	Мария	читает	вспоминание	в тетраде.	Мария читает вспоминание в тетраде.													
